company,country,sector
Austevoll Seafood ASA (AUSS),Norway,Fishing Companies
Austevoll Seafood ASA (Z85),Germany,Fishing Companies
Austevoll Seafood ASA (ASTVF),United States,Fishing Companies
Baiyang Investment Group Inc. A (002696),China,Fishing Companies
Bakkafrost P/F (BAKKA),Norway,Fishing Companies
Bakkafrost P/F (BAKKAo),Sweden,Fishing Companies
Bakkafrost P/F (6BF),Germany,Fishing Companies
BKV Industries Ltd. (519500),India,Fishing Companies
Borneo Aqua Harvest Bhd (BAHVEST),Malaysia,Fishing Companies
China Ocean Resources Co. Ltd. (900050),South Korea,Fishing Companies
Clean Seas Tuna Ltd. (CSS),Australia,Fishing Companies
CNFC Overseas Fishery Co. Ltd. (000798),China,Fishing Companies
Compania Pesquera Camanchaca S.A. (CAMANCHACA),Chile,Fishing Companies
Dahu Aquaculture Co. Ltd. (600257),China,Fishing Companies
Dalian Yi Qiao Sea Cucumber Co. Ltd. (002447),China,Fishing Companies
Danah Al Safat Foodstuff Co. K.S.C. (DANAH),Kuwait,Fishing Companies
Dharma Samudera Fishing Industries (DSFI),Indonesia,Fishing Companies
Dong Won Fisheries Co. Ltd. (030720),South Korea,Fishing Companies
Empresas Aquachile S.A. (AQUACHILE),Chile,Fishing Companies
Galaxidi Fish Farm S.A. (GMF),Greece,Fishing Companies
Gourmet Ocean Products Inc. (GOP),Canada,Fishing Companies
Grieg Seafood ASA (GSF),Norway,Fishing Companies
Grieg Seafood ASA (GR8),Germany,Fishing Companies
HB Grandi hf. (GRND),Iceland,Fishing Companies
Huon Aquaculture Group Ltd. (HUO),Australia,Fishing Companies
Inti Agri Resources (IIKP),Indonesia,Fishing Companies
Invermar S.A. (INVERMAR),Chile,Fishing Companies
Karsusan Karadeniz Su Urunleri Sanayii A.S. (KRSAN),Turkey,Fishing Companies
Mareterram Ltd. (MTM),Australia,Fishing Companies
Marine Harvest ASA (MNHVF),United States,Fishing Companies
Marine Harvest ASA (PND),United States,Fishing Companies
Marine Harvest ASA (MHG),Norway,Fishing Companies
Marine Harvest ASA (0OAW),United Kingdom,Fishing Companies
Marine Harvest ASA (63631),Sweden,Fishing Companies
Marine Harvest ASA ADR (MHG),United States,Fishing Companies
Multiexport Foods S.A. (MULTIFOODS),Chile,Fishing Companies
NaturalShrimp Inc. (SHMP),United States,Fishing Companies
Nippon Suisan Kaisha Ltd. (1332),Japan,Fishing Companies
Nippon Suisan Kaisha Ltd. (71N),Germany,Fishing Companies
Nireus S.A. (NIR),Greece,Fishing Companies
Norway Royal Salmon ASA (NRS),Norway,Fishing Companies
Oceana Group Ltd. (O1F),Germany,Fishing Companies
Oceana Group Ltd. (OCE),South Africa,Fishing Companies
Oceana Group Ltd. (OCGPF),United States,Fishing Companies
Oceanus Group Ltd. (579),Singapore,Fishing Companies
Oman Fisheries Co. (OFCI),Oman,Fishing Companies
Oyang Corp. (006090),South Korea,Fishing Companies
Pescanova S.A. (PVA),Spain,Fishing Companies
Pingtan Marine Enterprise Ltd. (PME),United States,Fishing Companies
Qian Hu Corp. Ltd. (BCV),Singapore,Fishing Companies
Rainbow Coral Corp. (RBCC),United States,Fishing Companies
Sajo Industries Co. Ltd. (007160),South Korea,Fishing Companies
SalMar ASA (SALM),Norway,Fishing Companies
SalMar ASA (JEP),Germany,Fishing Companies
Sanford Ltd. (SAN),New Zealand,Fishing Companies
Sapmer S.A. (ALMER),France,Fishing Companies
Saudi Fisheries Co. (6050),Saudi Arabia,Fishing Companies
Seafarms Group Ltd. (SFG),Australia,Fishing Companies
Selonda Aquaculture S.A. (SELO),Greece,Fishing Companies
Shandong Homey Aquatic Development Co. Ltd. A (600467),China,Fishing Companies
Shandong Zhonglu Oceanic Fisheries Co. Ltd. B (200992),China,Fishing Companies
Shanghai Kaichuang Marine International Co. Ltd. (600097),China,Fishing Companies
Silla Co. Ltd. (004970),South Korea,Fishing Companies
Suryo Foods & Industries Ltd. (519604),India,Fishing Companies
Umami Sustainable Seafood Inc. (UMAM),United States,Fishing Companies
Waterbase Ltd. (523660),India,Fishing Companies
Xian Leng Holdings Bhd (XIANLNG),Malaysia,Fishing Companies
Zeal Aqua Ltd. (539963),India,Fishing Companies
Zoneco Group Co. Ltd. A (002069),China,Fishing Companies
Giorgio Fedon & Figli S.p.A. (FED),France,Luxury Goods Companies
S.T. Dupont S.A. (DPT),France,Luxury Goods Companies
Shenyang Cuihua Gold & Silver Jewelry Co. Ltd. A (002731),China,Luxury Goods Companies
Academies Australasia Group Ltd. (AKG),Australia,General Services Companies
ADA (France) (ALADA),France,General Services Companies
AJ Networks Co. Ltd. (095570),South Korea,General Services Companies
AJ Rent a Car Co. Ltd. (068400),South Korea,General Services Companies
AL Group Ltd. (8360),Hong Kong,General Services Companies
AlarmForce Industries Inc. (AF),Canada,General Services Companies
Albis Leasing AG (ALG),United States,General Services Companies
Aquila S.A. (ALAQU),France,General Services Companies
Autohellas S.A. (OTOEL),Greece,General Services Companies
Avis Budget Group Inc. (CAR),United States,General Services Companies
Avis Budget Group Inc. (CUCA),Germany,General Services Companies
Beijing Orient Landscape & Ecology Co. Ltd. (002310),China,General Services Companies
Beijing Qianjing Landscape Co. Ltd. A (603778),China,General Services Companies
Beyaz Filo Oto Kiralama A.S. (BEYAZ),Turkey,General Services Companies
BOC Aviation Ltd. (2588),Hong Kong,General Services Companies
Boom Logistics Ltd. (BOL),Australia,General Services Companies
CanaDream Corp. (CDN),Canada,General Services Companies
Capital Art Inc. (CAPA),United States,General Services Companies
CAR Inc. (0699),Hong Kong,General Services Companies
Central Security Patrols Co. Ltd. (9740),Japan,General Services Companies
China Fire Safety Enterprise Group Ltd. (0445),Hong Kong,General Services Companies
China Leon Inspection Holding Ltd. (1586),Hong Kong,General Services Companies
Chu Kai PCL (CRANE),Thailand,General Services Companies
Chu Kai PCL NVDR (CRANE-R),Thailand,General Services Companies
Citi Port Financial Services Ltd. (531235),India,General Services Companies
Companhia de Locacao das Americas S/A (LCAM3),Brazil,General Services Companies
Cramo Oyj (CRA1V),Finland,General Services Companies
Crescent Leasing Ltd. (539131),India,General Services Companies
CROSSTEC Group Holdings Ltd. (3893),Hong Kong,General Services Companies
Delta Leasing & Finance Ltd. (535486),India,General Services Companies
Duskin Co. Ltd. (4665),Japan,General Services Companies
Eagle Legend Asia Ltd. (0936),Hong Kong,General Services Companies
EARN-A-CAR INC. (EACR),United States,General Services Companies
Earth Life Sciences Inc. (CLTS),United States,General Services Companies
eHi Car Services Ltd. ADR (EHIC),United States,General Services Companies
Eltrak S.A. (ELTRK),Greece,General Services Companies
Essex Rental Corp. (ESSX),United States,General Services Companies
Europcar Groupe S.A. (EUCAR),France,General Services Companies
Europcar Groupe S.A. (E7CD),Germany,General Services Companies
Ferronordic Machines AB Pfd. (FNMAPREF),Sweden,General Services Companies
Finans Finansal Kiralama A.S. (FFKRL),Turkey,General Services Companies
Finning International Inc. (FINGF),United States,General Services Companies
Finning International Inc. (FTT),Canada,General Services Companies
Fuji Soft Service Bureau Inc. (6188),Japan,General Services Companies
G Capital PCL (GCAP),Thailand,General Services Companies
G Capital PCL NVDR (GCAP-R),Thailand,General Services Companies
G4S PLC (GHN),Germany,General Services Companies
G4S PLC (G4S),Denmark,General Services Companies
G4S PLC (GFS),United Kingdom,General Services Companies
G4S PLC ADR (GFSZY),United States,General Services Companies
GA Holdings Ltd. (8126),Hong Kong,General Services Companies
Gateley (Holdings) PLC (GTLY),United Kingdom,General Services Companies
Gecoss Corp. (9991),Japan,General Services Companies
General de Alquiler de Maquinaria S.A. (GALQ),Spain,General Services Companies
goeasy Ltd. (GSY),Canada,General Services Companies
H&E Equipment Services Inc. (H6P),Germany,General Services Companies
H&E Equipment Services Inc. (HEES),United States,General Services Companies
Hakuyosha Co. Ltd. (9731),Japan,General Services Companies
Helix TCS Inc. (HLIX),United States,General Services Companies
Herc Holdings Inc. (HRI),United States,General Services Companies
Herc Holdings Inc. (H9B1),Germany,General Services Companies
Herc Holdings Inc. (HRI),Mexico,General Services Companies
Heritage Global Inc. (HGBL),United States,General Services Companies
Hertz Global Holdings Inc. (HTZ),United States,General Services Companies
Hertz Global Holdings Inc. (AZK),Germany,General Services Companies
HS3 Technologies Inc. (HSTH),United States,General Services Companies
IBJ Leasing Co. Ltd. (8425),Japan,General Services Companies
Impel S.A. (IPL),Poland,General Services Companies
IPH Ltd. (IPH),Australia,General Services Companies
IS Finansal Kiralama A.S. (ISFIN),Turkey,General Services Companies
Kanamoto Co. Ltd. (9678),Japan,General Services Companies
