company,country,sector
Harrisons Malayalam Ltd. (500467),India,Farming Companies
Hefei Fengle Seed Co. Ltd. A (000713),China,Farming Companies
Heilongjiang Agriculture Co. Ltd. A (600598),China,Farming Companies
HLH Group Ltd. (H27),Singapore,Farming Companies
Hob Co. Ltd. (1382),Japan,Farming Companies
Hokuryo Co. Ltd. (1384),Japan,Farming Companies
Hokuto Corp. (1379),Japan,Farming Companies
Horana Plantations PLC (HOPLN),Sri Lanka,Farming Companies
Hortifrut S.A. (HF),Chile,Farming Companies
Huat Lai Resources Bhd (HUATLAI),Malaysia,Farming Companies
Hunan Dakang International Food & Agriculture Co. Ltd. A (002505),China,Farming Companies
Hunan New Wellful Co. Ltd. A (600975),China,Farming Companies
I.C.P. Israel Citrus Plantations Ltd. (CTPL1),Israel,Farming Companies
I.C.P. Israel Citrus Plantations Ltd. 5 (CTPL5-L),Israel,Farming Companies
IJM Plantations Bhd (IJMPLNT),Malaysia,Farming Companies
Industrial Milk Co. S.A. (IMC),Poland,Farming Companies
Input Capital Corp. (INP),Canada,Farming Companies
Input Capital Corp. (INPCF),United States,Farming Companies
Inversora Juramento S.A. (INVJ),Argentina,Farming Companies
IOI Corp. Bhd (IOICORP),Malaysia,Farming Companies
Iz Hayvancilik Tarim ve Gida Sanayi Ticaret A.S. (IZTAR),Turkey,Farming Companies
James Warren Tea Ltd. (538564),India,Farming Companies
Jaya Agra Wattie (JAWA),Indonesia,Farming Companies
Jazan Development Co. (6090),Saudi Arabia,Farming Companies
JK Agri Genetics Ltd. (536493),India,Farming Companies
Joonktollee Tea & Industries Ltd. (538092),India,Farming Companies
Kahawatte Plantations PLC (KAHAN),Sri Lanka,Farming Companies
Kakuzi Ltd. (KAKU),United Kingdom,Farming Companies
Kanco Tea & Industries Ltd. (590130),India,Farming Companies
Kaneko Seeds Co. Ltd. (1376),Japan,Farming Companies
Karuturi Global Ltd. (531687),India,Farming Companies
Kaveri Seed Co. Ltd. (532899),India,Farming Companies
Keck Seng (Malaysia) Bhd (KSENG),Malaysia,Farming Companies
Kegalle Plantations PLC (KGALN),Sri Lanka,Farming Companies
Kelani Valley Plantations PLC (KVALN),Sri Lanka,Farming Companies
Kencana Agri Ltd. (BNE),Singapore,Farming Companies
Kernel Holding S.A. (KER),Poland,Farming Companies
Kernel Holding S.A. (0KE),Germany,Farming Companies
Kim Loong Resources Bhd (KMLOONG),Malaysia,Farming Companies
Kluang Rubber Co. (M) Bhd (KLUANG),Malaysia,Farming Companies
Kotagala Plantations PLC (KOTAN),Sri Lanka,Farming Companies
Kretam Holdings Bhd (KRETAM),Malaysia,Farming Companies
KSG Agro S.A. (KSG),Poland,Farming Companies
KTG Agrar SE (7KT),Germany,Farming Companies
Kuala Lumpur Kepong Bhd (KLK),Malaysia,Farming Companies
Kwantas Corp. Bhd (KWANTAS),Malaysia,Farming Companies
KWS Saat SE (KWS),United States,Farming Companies
Lay Hong Bhd (LAYHONG),Malaysia,Farming Companies
Leaf Resources Ltd. (LER),Australia,Farming Companies
Limoneira Co. (LMNR),United States,Farming Companies
Linas Agro Group AB (LNA1L),Lithuania,Farming Companies
Livestock Improvement Corp. Ltd. (LIC),New Zealand,Farming Companies
London Sumatra Indonesia (LSIP),Indonesia,Farming Companies
LTKM Bhd (LTKM),Malaysia,Farming Companies
Luoniushan Co. Ltd. (000735),China,Farming Companies
M.P. Evans Group PLC (MPE),United Kingdom,Farming Companies
Madulsima Plantations PLC (MADUN),Sri Lanka,Farming Companies
Malpac Holdings Bhd (MALPAC),Malaysia,Farming Companies
Malwatte Valley Plantations PLC (MALN),Sri Lanka,Farming Companies
Malwatte Valley Plantations PLC NV (MALX),Sri Lanka,Farming Companies
Mangalam Seeds Ltd. (539275),India,Farming Companies
Maple Leaf Green World Inc. (MGW),Canada,Farming Companies
Maple Leaf Green World Inc. (MPEFF),United States,Farming Companies
Maple Leaf Green World Inc. (4HV),Germany,Farming Companies
Maskeliya Plantations PLC (MASKN),Sri Lanka,Farming Companies
Mehadrin Ltd. (MEDN-L),Israel,Farming Companies
MHC Plantations Bhd (MHC),Malaysia,Farming Companies
Monsanto Co. (MOO),Germany,Farming Companies
Monsanto Co. (MON),United States,Farming Companies
Monsanto Co. (MON),Mexico,Farming Companies
Mukta Agriculture Ltd. (535204),India,Farming Companies
Multi Agro Gemilang Plantation (MAGP),Indonesia,Farming Companies
Muyuan Foodstuff Co. Ltd. (002714),China,Farming Companies
MYM Nutraceuticals Inc. (0MY),Germany,Farming Companies
